Source,Target,Type,Id,Label,timeset,Weight
n26,n7,Directed,345,,,2
n26,n8,Directed,346,,,2
n26,n9,Directed,347,,,2
n26,n10,Directed,348,,,2
n26,n11,Directed,349,,,2
n26,n12,Directed,350,,,2
n26,n14,Directed,351,,,2
n26,n15,Directed,352,,,2
n26,n18,Directed,353,,,2
n26,n19,Directed,354,,,2
n26,n20,Directed,355,,,2
n26,n22,Directed,356,,,2
n26,n23,Directed,357,,,2
n26,n24,Directed,358,,,2
n26,n25,Directed,359,,,2
n26,n27,Directed,360,,,2
n26,n36,Directed,361,,,2
n26,n37,Directed,362,,,2
n26,n47,Directed,363,,,2
n26,n48,Directed,364,,,2
n26,n49,Directed,365,,,2
n26,n50,Directed,366,,,2
n26,n51,Directed,367,,,2
n26,n52,Directed,368,,,2
n26,n53,Directed,369,,,2
n26,n58,Directed,370,,,2
n26,n59,Directed,371,,,2
n27,n18,Directed,372,,,2
n27,n19,Directed,373,,,2
n27,n22,Directed,374,,,2
n27,n23,Directed,375,,,2
n27,n58,Directed,376,,,2
n27,n59,Directed,377,,,2
n27,n64,Directed,378,,,2
n28,n15,Directed,379,,,2
n28,n29,Directed,380,,,2
n28,n30,Directed,381,,,2
n28,n31,Directed,382,,,2
n28,n32,Directed,383,,,2
n28,n34,Directed,384,,,2
n28,n35,Directed,385,,,2
n28,n38,Directed,386,,,2
n28,n58,Directed,387,,,2
n28,n59,Directed,388,,,2
n29,n15,Directed,389,,,2
n29,n28,Directed,390,,,2
n29,n30,Directed,391,,,2
n29,n31,Directed,392,,,2
n29,n32,Directed,393,,,2
n29,n33,Directed,394,,,2
n29,n34,Directed,395,,,2
n29,n35,Directed,396,,,2
n29,n38,Directed,397,,,2
n29,n44,Directed,398,,,2
n29,n45,Directed,399,,,2
n29,n58,Directed,400,,,2
n29,n59,Directed,401,,,2
n30,n28,Directed,402,,,2
n30,n29,Directed,403,,,2
n30,n31,Directed,404,,,2
n30,n32,Directed,405,,,2
n30,n34,Directed,406,,,2
n30,n35,Directed,407,,,2
n30,n58,Directed,408,,,2
n30,n59,Directed,409,,,2
n31,n28,Directed,410,,,2
n31,n29,Directed,411,,,2
n31,n30,Directed,412,,,2
n31,n32,Directed,413,,,2
n31,n34,Directed,414,,,2
n31,n35,Directed,415,,,2
n31,n58,Directed,416,,,2
n31,n59,Directed,417,,,2
n32,n28,Directed,418,,,2
n32,n29,Directed,419,,,2
n32,n30,Directed,420,,,2
n32,n31,Directed,421,,,2
n32,n34,Directed,422,,,2
n32,n35,Directed,423,,,2
n32,n38,Directed,424,,,2
n32,n39,Directed,425,,,2
n32,n40,Directed,426,,,2
n32,n41,Directed,427,,,2
n32,n45,Directed,428,,,2
n32,n50,Directed,429,,,2
n32,n51,Directed,430,,,2
n32,n58,Directed,431,,,2
n32,n59,Directed,432,,,2
n32,n64,Directed,433,,,2
n33,n15,Directed,434,,,2
n33,n25,Directed,435,,,2
n33,n32,Directed,436,,,2
n33,n36,Directed,437,,,2
n33,n37,Directed,438,,,2
n33,n38,Directed,439,,,2
n33,n39,Directed,440,,,2
n33,n40,Directed,441,,,2
n33,n41,Directed,442,,,2
n33,n43,Directed,443,,,2
n33,n44,Directed,444,,,2
n33,n45,Directed,445,,,2
n33,n50,Directed,446,,,2
n33,n51,Directed,447,,,2
n33,n58,Directed,448,,,2
n33,n59,Directed,449,,,2
